Id Financeiro;Status cliente;Id cliente (CNPJ);Razão Social;Nome Fantasia (Omie);MRR Atual;Data Cohort;Data Movimento;MRR;Movimento MRR;Tipo Movimento;Status contrato;Id contrato (Omie);Documento;Vigência inicial contrato;Vigência final contrato;Meses vigência;Valor contrato;Tipo Renovação;Índice Renovação;Vendedor;Valor original do MRR;Obs. Contrato;Condição pagamento
36723SENA01;Ativo;3672347000179;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL – ADMINISTRAÇÃO REGIONAL NO ESTADO DO RIO DE JANEIRO – SENAC ARRJ;SENAC RJ;Não;31/05/2022;31/05/2022;R$ 17.300,00;R$ 17.300,00;New Business;Vencido;SENA01;Contrato;31/05/2022;30/05/2023;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36723SENA02;Ativo;3672347000179;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL – ADMINISTRAÇÃO REGIONAL NO ESTADO DO RIO DE JANEIRO – SENAC ARRJ;SENAC RJ;Não;31/05/2022;31/05/2023;R$ 17.300,00;R$ 0,00;Expansion;Vencido;SENA02;Aditivo;31/05/2023;30/05/2024;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36723SENA03;Ativo;3672347000179;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL – ADMINISTRAÇÃO REGIONAL NO ESTADO DO RIO DE JANEIRO – SENAC ARRJ;SENAC RJ;Não;31/05/2022;31/05/2024;R$ 17.300,00;R$ 0,00;Expansion;Vencido;SENA03;Aditivo;31/05/2024;30/05/2025;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36723SENA04;Ativo;3672347000179;SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL – ADMINISTRAÇÃO REGIONAL NO ESTADO DO RIO DE JANEIRO – SENAC ARRJ;SENAC RJ;Sim;31/05/2022;31/05/2025;R$ 18.997,26;R$ 1.697,26;Expansion;Vigente;SENA04;Aditivo;31/05/2025;30/05/2026;12;R$ 227.967,12;Termo Aditivo;IGPM;Carlos;;;Mensal
36218SESC01;Ativo;3621867000152;SERVICO SOCIAL DO COMERCIO - SESC ADMINISTRACAO REGIONAL DO RIO DE JANEIRO;SESC RJ;Não;31/05/2022;31/05/2022;R$ 17.300,00;R$ 17.300,00;New Business;Vencido;SESC01;Contrato;31/05/2022;30/05/2023;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36218SESC02;Ativo;3621867000152;SERVICO SOCIAL DO COMERCIO - SESC ADMINISTRACAO REGIONAL DO RIO DE JANEIRO;SESC RJ;Não;31/05/2022;31/05/2023;R$ 17.300,00;R$ 0,00;Expansion;Vencido;SESC02;Aditivo;31/05/2023;30/05/2024;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36218SESC03;Ativo;3621867000152;SERVICO SOCIAL DO COMERCIO - SESC ADMINISTRACAO REGIONAL DO RIO DE JANEIRO;SESC RJ;Não;31/05/2022;31/05/2024;R$ 17.300,00;R$ 0,00;Expansion;Vencido;SESC03;Aditivo;31/05/2024;30/05/2025;12;R$ 207.600,00;Termo Aditivo;IGPM;Carlos;;;Mensal
36218SESC04;Ativo;3621867000152;SERVICO SOCIAL DO COMERCIO - SESC ADMINISTRACAO REGIONAL DO RIO DE JANEIRO;SESC RJ;Sim;31/05/2022;31/05/2025;R$ 18.770,50;R$ 1.470,50;Expansion;Vigente;SESC04;Aditivo;31/05/2025;30/05/2026;12;R$ 225.246,00;Termo Aditivo;IGPM;Carlos;;;Mensal
74153SIMP01;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Não;17/05/2021;17/05/2021;R$ 2.000,00;R$ 2.000,00;New Business;Vencido;SIMP01;nd;17/05/2021;16/03/2022;10;R$ 20.000,00;Automática;IPCA;Felipe;;;Mensal
74153SIMP01;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Não;17/05/2021;17/03/2022;R$ 974,85;-R$ 1.025,15;Contraction;Vencido;SIMP01;nd;17/03/2022;16/04/2022;1;R$ 974,85;Automática;IPCA;Felipe;;;Mensal
74153SIMP02;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Não;17/05/2021;17/04/2022;R$ 4.000,00;R$ 3.025,15;Expansion;Vencido;SIMP02;contrato;17/04/2022;16/04/2023;12;R$ 48.000,00;Automática;IPCA;Felipe;;;Mensal
74153SIMP03;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Não;17/05/2021;17/04/2023;R$ 4.186,03;R$ 186,03;Expansion;Vencido;SIMP03;nd;17/04/2023;16/04/2024;12;R$ 50.232,36;Automática;IPCA;Felipe;;;Mensal
74153SIMP04;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Não;17/05/2021;17/04/2024;R$ 4.337,51;R$ 151,48;Expansion;Vencido;SIMP04;nd;17/04/2024;16/04/2025;12;R$ 52.050,12;Automática;IPCA;Felipe;;;Mensal
74153SIMP05;Ativo;7415333000120;SIMPAR S.A.;SIMPAR;Sim;17/05/2021;17/04/2025;R$ 4.580,46;R$ 242,95;Expansion;Vigente;SIMP05;nd;17/04/2025;16/04/2026;12;R$ 54.965,52;Automática;IPCA;Felipe;;;Mensal
82845SOFT00;Inativo;82845322000104;SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA;SOFTPLAN;Não;12/04/2021;-;-;-;Implantação;Vencido;SOFT00;Contrato;12/04/2021;12/04/2021;0;R$ 5.000,00;-;-;Carlos;-;;Única
82845SOFT01/1;Inativo;82845322000104;SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA;SOFTPLAN;Não;12/04/2021;12/04/2021;R$ 1.895,60;R$ 1.895,60;New Business;Vencido;SOFT01/1;Contrato;12/04/2021;11/04/2022;12;R$ 22.747,20;Termo Aditivo;IGPM;Carlos;;;Mensal
82845SOFT01/2;Inativo;82845322000104;SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA;SOFTPLAN;Não;12/04/2021;12/04/2022;R$ 3.791,20;R$ 1.895,60;Expansion;Vencido;SOFT01/2;Contrato;12/04/2022;07/08/2022;4;R$ 15.164,80;Termo Aditivo;IGPM;Carlos;;;Mensal
61064CATEXX;Inativo;61064911000177;CATERPILLAR BRASIL LTDA;CATERPILLAR;Não;25/05/2023;14/09/2025;R$ 0,00;-R$ 13.180,07;Churn;Vencido;CATEXX;;-;-;-;-;-;-;Sabrina;-;-;-
